BinaryPropagations,BoolPropagations,ExitCode,Propagations,Restarts,SATClauses,SATVars,SavileRowClauseOut,SavileRowTimeOut,SavileRowTotalTime,SolverMemOut,SolverNodes,SolverSatisfiable,SolverTimeOut,SolverTotalTime,TheoryPropagations,configuration,instance,problem,seed
NA,NA,Success,NA,NA,NA,NA,0,0,27.69,NA,NA,1,0,3.613,NA,fzn2omt-int-mathsat,data1000,JPEncoding,8
NA,NA,Success,NA,NA,NA,NA,0,0,25.669,NA,NA,1,0,12.365,NA,fzn2omt-int-z3,data1000,JPEncoding,8
NA,NA,Success,NA,NA,NA,NA,0,1,3600.003,NA,NA,NA,NA,3600,NA,sat,data1400,JPEncoding,1
NA,NA,Success,NA,NA,NA,NA,0,0,71.617,NA,NA,1,0,77.169,NA,chuffed,data1400,JPEncoding,1
NA,NA,Success,NA,NA,28501,15231,0,0,58.19,NA,NA,0,NA,3600.05861868,NA,smt-bv-flat,data1400,JPEncoding,1
NA,NA,Success,NA,NA,22340,9070,0,0,57.289,NA,NA,0,NA,3600.042369319,NA,smt-bv-nested,data1400,JPEncoding,1
NA,NA,Success,NA,NA,22340,9070,0,0,59.682,NA,NA,1,NA,171.47,NA,smt-bv-nested-z3,data1400,JPEncoding,1
NA,NA,Success,NA,NA,22340,9070,0,0,59.811,NA,NA,1,NA,170.12,NA,smt-bv-nested-z3-pairwisealldiff,data1400,JPEncoding,1
NA,NA,Success,NA,NA,NA,NA,0,1,3600.003,NA,NA,NA,NA,3600,NA,smt-idl-flat,data1400,JPEncoding,1
NA,NA,Success,NA,NA,NA,NA,0,1,3600.002,NA,NA,NA,NA,3600,NA,smt-idl-nested,data1400,JPEncoding,1
NA,1508326,Success,NA,1,28501,15231,0,0,60.001,0,74690,1,0,1.498,0,smt-lia-flat,data1400,JPEncoding,1
NA,1371333,Success,NA,1,22340,9070,0,0,57.555,0,71638,1,0,1.206,0,smt-lia-nested,data1400,JPEncoding,1
19004190,NA,Success,22911833,4,28501,15231,0,0,58.917,NA,609346,1,NA,149.22,NA,smt-nia-flat,data1400,JPEncoding,1
21707922,NA,Success,26805731,5,22340,9070,0,0,58.628,NA,837908,1,NA,103.39,NA,smt-nia-nested,data1400,JPEncoding,1
NA,NA,Success,NA,NA,NA,NA,0,1,3.606,NA,NA,NA,NA,3600,NA,fzn2omt-bv-mathsat,data1400,JPEncoding,1
NA,NA,Success,NA,NA,NA,NA,0,0,38.994,NA,NA,1,0,6.518,NA,fzn2omt-int-mathsat,data1400,JPEncoding,1
NA,NA,Success,NA,NA,NA,NA,0,0,41.475,NA,NA,1,0,31.989,NA,fzn2omt-int-z3,data1400,JPEncoding,1
NA,NA,Success,NA,NA,NA,NA,0,1,3600.003,NA,NA,NA,NA,3600,NA,sat,data1400,JPEncoding,3
NA,NA,Success,NA,NA,NA,NA,0,0,71.027,NA,NA,1,0,75.433,NA,chuffed,data1400,JPEncoding,3
NA,NA,Success,NA,NA,22340,9070,0,0,61.564,NA,NA,1,NA,169.36,NA,smt-bv-nested-z3,data1400,JPEncoding,3
NA,NA,Success,NA,NA,22340,9070,0,0,58.578,NA,NA,1,NA,170.87,NA,smt-bv-nested-z3-pairwisealldiff,data1400,JPEncoding,3
NA,NA,Success,NA,NA,NA,NA,0,1,3600.003,NA,NA,NA,NA,3600,NA,smt-idl-flat,data1400,JPEncoding,3
NA,NA,Success,NA,NA,NA,NA,0,1,3600.003,NA,NA,NA,NA,3600,NA,smt-idl-nested,data1400,JPEncoding,3
NA,1624219,Success,NA,1,28501,15231,0,0,61.292,0,78521,1,0,1.696,0,smt-lia-flat,data1400,JPEncoding,3
NA,1387803,Success,NA,1,22340,9070,0,0,57.812,0,72104,1,0,1.430,0,smt-lia-nested,data1400,JPEncoding,3
19004190,NA,Success,22911833,4,28501,15231,0,0,58.569,NA,609346,1,NA,154.57,NA,smt-nia-flat,data1400,JPEncoding,3
19086691,NA,Success,23692365,5,22340,9070,0,0,56.307,NA,738251,1,NA,97.61,NA,smt-nia-nested,data1400,JPEncoding,3
NA,NA,Success,NA,NA,NA,NA,0,0,37.757,NA,NA,1,0,6.238,NA,fzn2omt-int-mathsat,data1400,JPEncoding,3
NA,NA,Success,NA,NA,NA,NA,0,0,40.03,NA,NA,1,0,30.54,NA,fzn2omt-int-z3,data1400,JPEncoding,3
NA,NA,Success,NA,NA,NA,NA,0,1,3600.003,NA,NA,NA,NA,3600,NA,sat,data1400,JPEncoding,8
NA,NA,Success,NA,NA,NA,NA,0,0,70.345,NA,NA,1,0,74.395,NA,chuffed,data1400,JPEncoding,8
NA,NA,Success,NA,NA,28501,15231,0,0,58.181,NA,NA,0,NA,3600.049476077,NA,smt-bv-flat,data1400,JPEncoding,8
NA,NA,Success,NA,NA,22340,9070,0,0,56.211,NA,NA,0,NA,3600.050534584,NA,smt-bv-nested,data1400,JPEncoding,8
